Layer,Name,GEOID,Population,INC_2019-2023,PCT-W_2019-2023,SNP_2019-2023
Census tract,Tract 605,17031060500,1374,60986.99999999999,74.17491749174917,22.091310751104565
Census tract,Tract 608,17031060800,5295,83534,62.279016141429665,4.3407487791644055
Census tract,Tract 609,17031060900,7104,86986.99999999999,75.45919071951388,5.321326238231682
Census tract,Tract 610,17031061000,2279,116499.99999999999,68.48266547,11.172161172161172
Census tract,Tract 611,17031061100,1367,123749.99999999999,72.88011695906432,0
Census tract,Tract 612,17031061200,1932,118397.99999999999,71.42857142857143,2.9988465974625145
Census tract,Tract 615,17031061500,1797,126100.99999999999,79.76125881714596,0
Census tract,Tract 618,17031061800,1051,76393,68.26923076923077,3.489932886
Census tract,Tract 619.01,17031061901,3625,67063,71.13786185153339,12.977676882330686
Census tract,Tract 619.02,17031061902,4665,92011,76.69188734762506,3.656433252845809
Census tract,Tract 620,17031062000,2843,133513.99999999997,76.91528855889301,2.167712492869367
Census tract,Tract 621,17031062100,3817,92312.99999999999,78.56746252082176,4.8302247728359635
Census tract,Tract 622,17031062200,3244,172841,79.97520148791072,2.5343953656770455
Census tract,Tract 623,17031062300,1667,244285.99999999997,78.36630504148053,0
Census tract,Tract 624,17031062400,1673,158542,80.26091888825864,4.792746113989637
Census tract,Tract 625,17031062500,1675,169916.99999999997,74.57279563,3.817914831
Census tract,Tract 626,17031062600,2477,177044.99999999997,74.47078746824725,2.903225806451613
Census tract,Tract 627,17031062700,2955,136666.99999999997,74.81021394064872,7.142857142857142
Census tract,Tract 628,17031062800,3851,166741,76.73924588422729,2.8332260141661303
Census tract,Tract 629,17031062900,4125,181429,69.68786127,3.513238289205703
Census tract,Tract 630,17031063000,3417,103250,78.05767318528339,0
Census tract,Tract 631,17031063100,2376,97347,79.46542214679677,3.0561478322672353
Census tract,Tract 632,17031063200,6900,77182.99999999999,74.94213855886437,1.002178649237473
Census tract,Tract 633.01,17031063301,2833,69188,70.84478021978022,18.010885700148442
Census tract,Tract 633.02,17031063302,4577,96363.99999999999,78.15510597302506,0.7703081232492998
Census tract,Tract 633.03,17031063303,1274,104813,80.71818891491023,0
Census tract,Tract 634,17031063400,2417,116764.99999999999,77.82881002087683,3.0415430267062313
Census tract,Tract 701.01,17031070101,4171,96944,78.87054319215123,3.463855421686747
Census tract,Tract 701.02,17031070102,3063,106062,78.30919501515662,1.5673981191222568
Census tract,Tract 701.03,17031070103,1845,76477,69.22015182884748,3.089143865842895
Census tract,Tract 702,17031070200,4200,101991.99999999999,71.95474875032886,1.8078020932445291
Census tract,Tract 703,17031070300,4349,178750,77.69485903814261,1.0222489476849068
Census tract,Tract 704,17031070400,3250,205771.99999999997,80.71297989031079,8.373042886317222
Census tract,Tract 705,17031070500,3322,194407.99999999997,79.54110898661568,7.587253414264036
Census tract,Tract 706,17031070600,3449,210469,82.02653799758745,0
Census tract,Tract 707,17031070700,3699,146806,59.406479716852715,11.03448275862069
Census tract,Tract 710,17031071000,4357,186517.99999999997,79.50571228724644,0
Census tract,Tract 711,17031071100,3091,212677,76.97468740469655,1.237842617152962
Census tract,Tract 712,17031071200,2973,131162.99999999997,73.36795252,4.652996845425868
